id,paper_title,doi,component,ratio_value,ratio_unit,role,confidence
266,Fe2O3@CNTs Anode Materials for Lithium Ion Batteries Investigated by Electron Energy Loss Spectroscopy,10.1021/acs.chemmater.6b05356.s001,CNT,,,,0.6
301,Recent advances of MXene saturable absorber for near-infrared mode-locked fiber laser,,CNT,,,,0.6
318,Impedance spectroscopy of carbon nanotube/solid polymer electrolyte composites,10.1016/j.ssc.2011.08.015,CNT,,,,0.6
429,Extraction of Equivalent Circuit Parameters for CNT incorporated Perovskite Solar Cells Using Newton-Raphson Method,10.1109/icece.2018.8636738,CNT,,,,0.6
435,"Carbon Nanotube-like Metal Organic Framework (MOF) StructuresCo2+, Ni2+ and Zn2+ Metal-Organic Frameworks",10.2139/ssrn.5766205,CNT,,,,0.6
439,Interfacial charge transfer and interaction in the MXene/TiO2 heterostructures,10.1103/PhysRevMaterials.5.054007,CNT,,,,0.6
509,The Optical Excitation of Zigzag Carbon Nanotubes with Photons Guided in Nanofibers,,CNT,,,,0.6
510,Hexagon Preserving Carbon Nanofoams,10.1103/PhysRevB.74.214104,CNT,,,,0.6
528,An amperometric uric acid biosensor based on chitosan-carbon nanotubes electrospun nanofiber on silver nanoparticles,10.1007/s00216-014-7770-3,CNT,,,,0.6
534,Impedance DNA Biosensor Using Electropolymerized Polypyrrole/Multiwalled Carbon Nanotubes Modified Electrode,10.1002/elan.200603544,CNT,,,,0.6
540,"Electrochemical DNA impedance biosensor for the detection of DNA hybridization with polymeric film, single walled carbon nanotubes modified glassy carbon electrode",10.1134/s1023193511120123,CNT,,,,0.6
545,Electrochemical Deoxyribonucleic Acid Biosensor Based on Multi-walled Carbon Nanotubes/Ag-TiO&lt;SUB&gt;2&lt;/SUB&gt; Composite Film for Label-free Phosphinothricin Acetyltransferase Gene Detection by Electrochemical Impedance Spectroscopy,10.3724/sp.j.1096.2010.00301,CNT,,,,0.6
551,"DNA impedance biosensor for detection of cancer, TP53 gene mutation, based on gold nanoparticles/aligned carbon nanotubes modified electrode",10.1016/j.aca.2014.05.029,CNT,,,,0.6
571,Spray-Coated Multiwalled Carbon Nanotube Composite Electrodes for Thermal Energy Scavenging Electrochemical Cells,10.1021/acsami.6b05083.s001,CNT,,,,0.6
573,Selective Electrochemical Detection of Ciprofloxacin with a Porous Nafion/Multiwalled Carbon Nanotube Composite Film Electrode,10.1021/acsami.5b07337.s001,CNT,,,,0.6
575,Three-Dimensional Carbon Nanotube/Transition-Metal Oxide Sponges as Composite Electrodes with Enhanced Electrochemical Performance,10.1021/acsanm.8b00606.s001,CNT,,,,0.6
579,A sensitive electrochemical sensor for cryptotanshinone based on electrochemical reduced graphene oxide and carbon nanotube composite film modified glassy carbon electrode,10.56042/ijca.v59i12.31994,CNT,,,,0.6
580,Electrochemical Synthesis of Poly(3-Aminobenzylamine)/Carbon Nanotube Composite for Selective Detection of Dopamine in Artificial Urine,10.2139/ssrn.5160213,CNT,,,,0.6
581,Ce-TiO2/carbon Nanotube Composite Modified Glassy Carbon Electrode for Electrochemical Detection of Caffeic Acid,10.20964/2019.08.13,CNT,,,,0.6
583,Transport and Kinetics at Carbon Nanotube –Redox Enzyme Composite Modified Electrode Biosensors Part 2. Redox enzyme dispersed in nanotube mesh of finite thickness,10.1016/s1452-3981(23)15217-5,CNT,,,,0.6
584,A new method to prepare RuO2·xH2O/carbon nanotube composite for electrochemical capacitors,10.1016/j.carbon.2004.12.031,CNT,,,,0.6
586,Transport and Kinetics at Carbon Nanotube – Redox Enzyme Composite modified Electrode Biosensors,10.1016/s1452-3981(23)15139-x,CNT,,,,0.6
591,Cycling Performance of Supercapacitors Assembled with Polypyrrole/Multi-Walled Carbon Nanotube/Conductive Carbon Composite Electrodes,10.5229/jecst.2011.2.2.091,CNT,,,,0.6
593,Carbon Nanotube/Teflon Composite Electrochemical Sensors and Biosensors,10.1021/ac030007+,CNT,,,,0.6
594,Highly Selective and Active Electrochemical Reduction of CO2 to CO on a Polymeric Co(II) Phthalocyanine@Graphitic Carbon Nitride NanosheetCarbon Nanotube Composite,10.1021/acs.inorgchem.0c01977.s001,CNT,,,,0.6
595,Carbon Nanotube/Polyaniline Composite Films Prepared by in situ Electrochemical Polymerization for Electrochemical Supercapacitors,10.3390/ecsoc-18-d008,CNT,,,,0.6
600,All-solid-state electrochemical capacitors using MnO2/carbon nanotube composite electrode,10.1016/j.electacta.2013.07.154,CNT,,,,0.6
603,Electrochemical and electromechanical properties of carbon black/carbon fiber composite polymer actuator with higher performance than single-walled carbon nanotube polymer actuator,10.1016/j.electacta.2013.12.156,CNT,,,,0.6
608,Carbon nanotube/polysulfone composite screen-printed electrochemical enzyme biosensors,10.1039/b609137g,CNT,,,,0.6
609,Electrochemical preparation and electrochemical behavior of polypyrrole/carbon nanotube composite films,10.1007/s11706-009-0025-0,CNT,,,,0.6
618,Amperometric Determination of 4-Nitrophenol at Multi-Walled Carbon Nanotube-Poly(Diphenylamine) Composite Modified Glassy Carbon Electrode,10.1016/s1452-3981(23)18298-8,CNT,,,,0.6
623,Electrodeposition of Ni–P Alloy–Multiwalled Carbon Nanotube Composite Films,10.1149/1.3254180,CNT,,,,0.6
624,"Electrochemical Characterization of Carbon Nanotube and Poly (3,4-ethylenedioxythiophene)−Poly(styrenesulfonate) Composite Aqueous Electrolyte for Thermo-Electrochemical Cells",10.1149/2.0981608jes,CNT,,,,0.6
626,Enhanced lithium-ion battery performance using silver nanowire-decorated multi-walled carbon nanotube composite anodes,10.1016/j.ijoes.2025.101193,CNT,,,,0.6
629,Electrochemical Analysis of 2-chlorophenol Using a MultiWalled Carbon Nanotube-Ionic Liquid Composite Modified Electrode,10.1016/s1452-3981(23)17448-7,CNT,,,,0.6
632,An electrochemical immunosensor based on a graphene/multi-wall carbon nanotube composite platform for the detection of cardiovascular marker C-reactive protein,10.1007/s42823-023-00629-6,CNT,,,,0.6
634,Electrochemical preparation of over-oxidized polypyrrole/multi-walled carbon nanotube composite on glassy carbon electrode and its application in epinephrine determination,10.1016/j.electacta.2011.04.029,CNT,,,,0.6
638,In-situ electrochemical polymerization of multi-walled carbon nanotube/polyaniline composite films for electrochemical supercapacitors,10.1016/j.synthmet.2008.09.018,CNT,,,,0.6
641,Electrochemical Studies of Ion Transport through Single‐Walled Carbon Nanotubes Using Polyoxometalate/Nanotube Composite Electrodes,10.1149/ma2024-02111460mtgabs,CNT,,,,0.6
642,Carbon Nanotube/Polyaniline Composite Films Prepared by Hydrothermal- Electrochemical Method for Biosensor Applications,10.1109/smicnd.2018.8539793,CNT,,,,0.6
644,Magnetic loading of carbon nanotube/nano-Fe3O4 composite for electrochemical sensing,10.1016/j.talanta.2006.06.003,CNT,,,,0.6
647,Voltammetric Detection of Potassium Ferricyanide Mediated by Multi-walled Carbon Nanotube/Titanium Dioxide Composite Modified Glassy Carbon Electrode,10.1016/s1452-3981(23)15013-9,CNT,,,,0.6
650,Electrochemical Determination of Melamine with a Glassy Carbon Electrode Coated with a Multi-Wall Carbon Nanotube/Chitosan Composite,10.1149/2.065205jes,CNT,,,,0.6
653,Determination of capsaicin using carbon nanotube based electrochemical biosensors,10.51415/10321/1749,CNT,,,,0.6
655,Cu/Multiwalled Carbon Nanotube Composite Films Fabricated by Pulse-Reverse Electrodeposition,10.1149/1.3518414,CNT,,,,0.6
656,Vanadium Oxide-Carbon Nanotube Composite Electrodes for Use in Secondary Lithium Batteries,10.1149/1.1425791,CNT,,,,0.6
659,A Co(II)-Organic Coordination Polymer and Its Hydroxyl Multiwalled Carbon Nanotube Composite Incorporating 2Iodo-4-sulfobenzoate Exhibiting Dual Electrochemical Sensing Performance for NO2 and Fe3+,10.1021/acs.inorgchem.5c00484.s001,CNT,,,,0.6
661,Synthesis of Functionalized Carbon Nanotube Graphene Composite Enabling Ph-Responsive Electrochemical Sensing for Biomedical Applications,10.2139/ssrn.4120059,CNT,,,,0.6
662,Dynamic Liquid Membrane Electrochemical Modification of Carbon Nanotube Fiber for Electrochemical Microfabrication,10.1021/acsami.9b17797.s001,CNT,,,,0.6
682,Improving Electrical Conductivity in Polycarbonate Nanocomposites Using Highly Conductive PEDOT/PSS Coated MWCNTs,10.1021/am4011622,CNT,,,,0.6
690,Enhanced Conductivity and Color Neutrality of Transparent Conductive Electrodes Based on CNT/PEDOT: PSS Composite with a Layer-by-layer Structure,10.1142/9789814696029_0034,CNT,,,,0.6
696,On the mechanism of conductivity enhancement in PEDOT/PSS film doped with multi-walled carbon nanotubes,10.1007/s10965-009-9360-1,CNT,,,,0.6
725,Nitrobenzene electrochemical sensor based on silver nanoparticle supported on poly-melamine functional multi-walled carbon nanotube,10.1007/s11581-016-1713-2,CNT,,,,0.6
728,Non-enzymatic glucose electrochemical sensor based on silver nanoparticle decorated organic functionalized multiwall carbon nanotubes,10.1039/c6ra10698f,CNT,,,,0.6
743,Click-Chemistry-Mediated Synthesis of Silver Nanoparticle-Supported Polymer-Wrapped Carbon Nanotubes: Glucose Sensor and Antibacterial Material,10.1021/acsomega.2c02832.s001,CNT,,,,0.6
774,Rapid cholesterol detection by functionalized carbon nanotube based electrochemical sensor on flow injection microfluidic chip,10.1109/icsens.2009.5398459,CNT,,,,0.6
779,Non-invasive wearable chemical sensor for detection of sweat biomarker,10.58837/chula.the.2022.1370,CNT,,,,0.6
282,Fe2O3/ Co3O4 composite nanoparticle ethanol sensor,10.3938/jkps.69.373,Co3O4,,,,0.95
245,Nio/Co3o4 Hybrid Micro−Nanostructure as Long-Term Electrode for Aqueous Supercapacitors,10.2139/ssrn.4400882,Co3O4,,,,0.6
278,Compact Yttria-Stabilized Zirconia Based Total NOx Sensor with a Dual Functional Co3O4/NiO Sensing Electrode,10.1021/acssensors.9b00981.s001,Co3O4,,,,0.6
330,Cathode Materials for Lithium Ion Batteries (LIBs): A Review on Materials related aspects towards High Energy Density LIBs,,Co3O4,,,,0.6
180,Facile Fabrication of a Nanocomposite Electrode for Enhanced Electrochemical Performance,10.21203/rs.3.rs-7148554/v1,CuO,,,,0.95
255,Binder-free NiO/CuO hybrid structure via ULPING (Ultra-short Laser Pulse for In-situ Nanostructure Generation) technique for supercapacitor electrode,10.1038/s41598-023-34274-w,CuO,,,,0.7
306,Introduction to High-Temperature Superconductivity for Solid State Chemists,,CuO,,,,0.7
236,Non-Enzymatic Glucose sensing properties of NiO nanostructured flower decorated Exfoliated Graphite Electrodes,,CuO,,,,0.6
311,Chemistry and physics of layered oxychalcogenides containing an anti-cuprate type square lattice,10.1016/j.solidstatesciences.2025.108085,CuO,,,,0.6
317,Impedance spectroscopy of YSZ electrolyte containing CuO for various applications,10.1016/j.ssi.2007.07.015,CuO,,,,0.6
262,Synthesis of a High-Capacity α-Fe2O3@C Conversion Anode and a High-Voltage LiNi0.5Mn1.5O4 Spinel Cathode and Their Combination in a Li-Ion Battery,10.1021/acsaem.1c01585,Fe2O3,,,,0.95
265,Structure evolution of nanoparticulate Fe2O3,10.1039/C4NR06989G,Fe2O3,,,,0.95
281,Fe2O3/ Co3O4 composite nanoparticle ethanol sensor,10.3938/jkps.69.373,Fe2O3,,,,0.95
283,Novel magnetic and ferroelectric behaviors observed in alpha Fe2O3 particles,,Fe2O3,,,,0.95
234,Non-Enzymatic Glucose sensing properties of NiO nanostructured flower decorated Exfoliated Graphite Electrodes,,Fe2O3,,,,0.8
268,Study of electrical properties of MoO3–Fe2O3–P2O5 and SrO–Fe2O3–P2O5 glasses by impedance spectroscopy. II,10.1016/j.jnoncrysol.2003.08.050,Fe2O3,,,,0.7
290,Α-Fe2o3/Tio2 Anode for Li-Storage and Applications in Lini0.5mn1.5o4//Α-Fe2o3/Tio2 Full Cells,10.2139/ssrn.4855276,Fe2O3,,,,0.7
217,Composition dependent magnetic properties of iron oxide - polyaniline nanoclusters,10.1063/1.1829788,Fe2O3,,,,0.6
267,Fe2O3@CNTs Anode Materials for Lithium Ion Batteries Investigated by Electron Energy Loss Spectroscopy,10.1021/acs.chemmater.6b05356.s001,Fe2O3,,,,0.6
269,Investigation of Nanostructured Fe2O3:ZnO Sensor by Impedance Spectroscopy,10.1134/s1068337223040175,Fe2O3,,,,0.6
271,Porous Fe2O3 Nanoparticles as Lithium-Ion Battery Anode Materials,10.1021/acsanm.1c01312.s001,Fe2O3,,,,0.6
285,Fe2O3/SnSSe Hexagonal Nanoplates as Lithium-Ion Batteries Anode,10.1021/acsami.8b01537.s001,Fe2O3,,,,0.6
286,Study of the lithium insertion–deinsertion mechanism in nanocrystalline γ-Fe2O3 electrodes by means of electrochemical impedance spectroscopy,10.1016/j.electacta.2006.04.027,Fe2O3,,,,0.6
287,"Polypyrrole, α-Fe2O3 and their hybrid nanocomposite sensor: An impedance spectroscopy study",10.1016/j.orgel.2014.06.019,Fe2O3,,,,0.6
289,Kinetics of oxygen evolution at α-Fe2O3 photoanodes: a study by photoelectrochemical impedance spectroscopy,10.1039/c0cp02408b,Fe2O3,,,,0.6
292,Hollow Porous Fe2O3 Nanoparticles as Anode Materials for High-Performance Lithium-Ion Capacitors,10.1021/acssuschemeng.0c06650.s001,Fe2O3,,,,0.6
293,Lithium Storage Behavior of Expanded Microcrystalline Graphite/Fe2O3 Anode for Lithium-Ion Batteries,10.1021/acsomega.4c11654.s001,Fe2O3,,,,0.6
295,Construction and Performance Characterization of Fe2O3/rGO Composite for Long-Cycling-Life Supercapacitor Anode,10.1021/acssuschemeng.7b00445.s001,Fe2O3,,,,0.6
320,Grain-boundary states in solid oxide electrolyte ceramics processed using iron oxide sintering aids: a Mössbauer spectroscopy study,10.1007/s10008-017-3622-3,Fe2O3,,,,0.6
397,Hydrothermal-induced ɑ-Fe2O3/graphene nanocomposite with ultrahigh capacitance for stabilized and enhanced supercapacitor electrodes,10.1007/s11581-019-02859-z,Fe2O3,,,,0.6
566,Self-Generated Nanoporous Silver Framework for High-Performance Iron Oxide Pseudocapacitor Anodes,10.1021/acsami.8b03725.s001,Fe2O3,,,,0.6
508,Searching for a magnetic proximity effect in magnetite-carbon structures,,Fe3O4,,,,0.9
235,Non-Enzymatic Glucose sensing properties of NiO nanostructured flower decorated Exfoliated Graphite Electrodes,,Fe3O4,,,,0.6
249,Three-component NiO/Fe3O4/rGO nanostructure as an electrode material towards supercapacitor and alcohol electrooxidation,10.1016/j.heliyon.2024.e39399,Fe3O4,,,,0.6
258,Band gap modified boron doped NiO/Fe<sub>3</sub>O<sub>4</sub>nanostructure as the positive electrode for high energy asymmetric supercapacitors,10.1039/c5ra20928e,Fe3O4,,,,0.6
645,Magnetic loading of carbon nanotube/nano-Fe3O4 composite for electrochemical sensing,10.1016/j.talanta.2006.06.003,Fe3O4,,,,0.6
711,A Novel Rutin Electrochemical Sensor Using Reduced Graphene Oxide/Magnetite/Silver Nanoparticle-Molecularly Imprinted Polymer Composite Modified Electrode,10.20964/2018.03.55,Fe3O4,,,,0.6
740,Visible Light-Assisted Detection of Furazolidone Using a Ag@Fe3O4 Nanoparticle-Based Electrochemical Sensor,10.1021/acs.langmuir.5c00947.s001,Fe3O4,,,,0.6
760,The Physicochemical and Electrochemical Characterization of Silver Nanoparticle-Incorporated Magnetite/Reduced Graphene Oxide,10.55373/mjchem.v25i4.73,Fe3O4,,,,0.6
587,Electrochemical Synthesis of Sensitive Layer of Polyaniline/Multi Wall Carbon Nanotube Composite,10.4028/www.scientific.net/msf.695.336,MWCNT,,,,0.95
619,Synthesis of carbon nanotube-tungsten oxide composite for carbon dioxide sensing application,10.58837/chula.the.2011.1782,MWCNT,,,,0.95
597,Electrochemical synthesis and corrosion behaviour of polypyrrole and polypyrrole/carbon nanotube nanocomposite films,10.1177/0021998313495904,MWCNT,,,,0.8
771,EIS-guided LTO Nanoflakes-decorated MWCNT Electrochemical Sensor for Efficient Detection of Paracetamol Associated with Hepatotoxicity,10.2139/ssrn.6384307,MWCNT,,,,0.8
273,Investigation of Reaction Kinetics in Carbon Anode with Nano-Fillers through Impedance Spectroscopy,10.1149/ma2020-012387mtgabs,MWCNT,,,,0.7
65,New Electrochemical Characterization Methods for Nanocomposite Supercapacitor Electrodes,,MWCNT,,,,0.6
143,Modeling the Auxetic Transition for Carbon Nanotube Sheets,10.1103/PhysRevB.78.115408,MWCNT,,,,0.6
533,Impedance DNA Biosensor Using Electropolymerized Polypyrrole/Multiwalled Carbon Nanotubes Modified Electrode,10.1002/elan.200603544,MWCNT,,,,0.6
544,Electrochemical Deoxyribonucleic Acid Biosensor Based on Multi-walled Carbon Nanotubes/Ag-TiO&lt;SUB&gt;2&lt;/SUB&gt; Composite Film for Label-free Phosphinothricin Acetyltransferase Gene Detection by Electrochemical Impedance Spectroscopy,10.3724/sp.j.1096.2010.00301,MWCNT,,,,0.6
570,Spray-Coated Multiwalled Carbon Nanotube Composite Electrodes for Thermal Energy Scavenging Electrochemical Cells,10.1021/acsami.6b05083.s001,MWCNT,,,,0.6
572,Selective Electrochemical Detection of Ciprofloxacin with a Porous Nafion/Multiwalled Carbon Nanotube Composite Film Electrode,10.1021/acsami.5b07337.s001,MWCNT,,,,0.6
590,Cycling Performance of Supercapacitors Assembled with Polypyrrole/Multi-Walled Carbon Nanotube/Conductive Carbon Composite Electrodes,10.5229/jecst.2011.2.2.091,MWCNT,,,,0.6
617,Amperometric Determination of 4-Nitrophenol at Multi-Walled Carbon Nanotube-Poly(Diphenylamine) Composite Modified Glassy Carbon Electrode,10.1016/s1452-3981(23)18298-8,MWCNT,,,,0.6
622,Electrodeposition of Ni–P Alloy–Multiwalled Carbon Nanotube Composite Films,10.1149/1.3254180,MWCNT,,,,0.6
625,Enhanced lithium-ion battery performance using silver nanowire-decorated multi-walled carbon nanotube composite anodes,10.1016/j.ijoes.2025.101193,MWCNT,,,,0.6
628,Electrochemical Analysis of 2-chlorophenol Using a MultiWalled Carbon Nanotube-Ionic Liquid Composite Modified Electrode,10.1016/s1452-3981(23)17448-7,MWCNT,,,,0.6
631,An electrochemical immunosensor based on a graphene/multi-wall carbon nanotube composite platform for the detection of cardiovascular marker C-reactive protein,10.1007/s42823-023-00629-6,MWCNT,,,,0.6
633,Electrochemical preparation of over-oxidized polypyrrole/multi-walled carbon nanotube composite on glassy carbon electrode and its application in epinephrine determination,10.1016/j.electacta.2011.04.029,MWCNT,,,,0.6
637,In-situ electrochemical polymerization of multi-walled carbon nanotube/polyaniline composite films for electrochemical supercapacitors,10.1016/j.synthmet.2008.09.018,MWCNT,,,,0.6
646,Voltammetric Detection of Potassium Ferricyanide Mediated by Multi-walled Carbon Nanotube/Titanium Dioxide Composite Modified Glassy Carbon Electrode,10.1016/s1452-3981(23)15013-9,MWCNT,,,,0.6
649,Electrochemical Determination of Melamine with a Glassy Carbon Electrode Coated with a Multi-Wall Carbon Nanotube/Chitosan Composite,10.1149/2.065205jes,MWCNT,,,,0.6
652,Determination of capsaicin using carbon nanotube based electrochemical biosensors,10.51415/10321/1749,MWCNT,,,,0.6
654,Cu/Multiwalled Carbon Nanotube Composite Films Fabricated by Pulse-Reverse Electrodeposition,10.1149/1.3518414,MWCNT,,,,0.6
658,A Co(II)-Organic Coordination Polymer and Its Hydroxyl Multiwalled Carbon Nanotube Composite Incorporating 2Iodo-4-sulfobenzoate Exhibiting Dual Electrochemical Sensing Performance for NO2 and Fe3+,10.1021/acs.inorgchem.5c00484.s001,MWCNT,,,,0.6
681,Improving Electrical Conductivity in Polycarbonate Nanocomposites Using Highly Conductive PEDOT/PSS Coated MWCNTs,10.1021/am4011622,MWCNT,,,,0.6
695,On the mechanism of conductivity enhancement in PEDOT/PSS film doped with multi-walled carbon nanotubes,10.1007/s10965-009-9360-1,MWCNT,,,,0.6
724,Nitrobenzene electrochemical sensor based on silver nanoparticle supported on poly-melamine functional multi-walled carbon nanotube,10.1007/s11581-016-1713-2,MWCNT,,,,0.6
727,Non-enzymatic glucose electrochemical sensor based on silver nanoparticle decorated organic functionalized multiwall carbon nanotubes,10.1039/c6ra10698f,MWCNT,,,,0.6
78,Self-Assembly Synthesis and Electrochemical Performance of Partially Reduced Graphene Oxide Supported Hierarchical MnO2 Nanonocomposite for Supercapacitor,10.52568/000779/jcsp/41.04.2019,MnO2,,,,0.95
34,Preparation of Ag-CNTs and Ag-Graphene nanocomposite and their combination with MnO2 bath deposition for flexible supercapacitor development.,10.58837/chula.the.2019.375,MnO2,,,,0.9
183,Precise control on morphology of ultrafine LiMn2O4 nanorods as supercapacitor electrode via two-step hydrothermal method,10.1039/C8CE01029C,MnO2,,,,0.8
30,"Review for ""Enhanced Supercapacitor Performance Using Graphene Quantum Dots/ manganese dioxide/ tin-organic framework (NGQDs/MnO2/Sn-MOF) Hybrid Electrode""",10.1039/d4nj05331a/v2/review2,MnO2,,,,0.7
158,MnO2/Porous Carbon Nanotube/MnO2 Nanocomposites for High-Performance Supercapacitor,10.1021/acsanm.0c02163.s001,MnO2,,,,0.7
22,Oxidative MnO2 Template Assisted Electrochemical Fabrication of Graphene/Polypyrrole Supercapacitor Electrodes,10.1021/acs.langmuir.4c00316.s001,MnO2,,,,0.6
26,Cyclodextrin/Graphene-Based Porous Carbon Nanofibers with Embedded MnO2 Nanoparticles for Supercapacitor Applications,10.1021/acsanm.2c00645.s001,MnO2,,,,0.6
28,One-Step Synthesis of Nitrogen/Sulfur Codoped Graphene/MnO2 Film as a High-Performance Supercapacitor,10.1021/acsaem.5c00530.s001,MnO2,,,,0.6
71,When Conductive MOFs Meet MnO2: High Electrochemical Energy Storage Performance in an Aqueous Asymmetric Supercapacitor,10.1021/acsami.1c08161.s001,MnO2,,,,0.6
72,Variation of the MnO2 Birnessite Structure upon Charge/Discharge in an Electrochemical Supercapacitor Electrode in Aqueous Na2SO4 Electrolyte,10.1021/jp0773029.s005,MnO2,,,,0.6
73,Effects of Electrode Mass-loading on the Electrochemical Properties of Porous MnO2 for Electrochemical Supercapacitor,10.1016/s1452-3981(23)08070-7,MnO2,,,,0.6
74,Electrochemical Performance of an Asymmetric Coin Cell Supercapacitor Based on Marshmallow-like MnO2/Carbon Cloth in Neutral and Alkaline Electrolytes,10.1021/acs.energyfuels.0c03807.s001,MnO2,,,,0.6
80,Electrochemical Performance of MnO2 Composite with Activated Carbon for Supercapacitor Applications,10.56042/ijems.v30i3.3681,MnO2,,,,0.6
81,Facial In-situ Synthesis of MnO2/PPy Composite for Supercapacitor,10.1016/s1452-3981(23)11193-x,MnO2,,,,0.6
188,Nanostructured MnO2: Hydrothermal synthesis and electrochemical properties as a supercapacitor electrode material,10.1016/j.jpowsour.2006.04.012,MnO2,,,,0.6
329,Electronic Structure Modeling of Electrochemical Reactions at Electrode/Electrolyte Interfaces in Lithium Ion Batteries,10.1021/jp308929a,MnO2,,,,0.6
562,Surfactant-assisted electrodeposition and improved electrochemical capacitance of silver-doped manganese oxide pseudocapacitor electrodes,10.1007/s10008-012-1691-x,MnO2,,,,0.6
